name,sku,price_net,stock,category,description,image_path,active
BANANA MACHO,BM-4MM-SC_GL,300,17,conectores,,products/BM-4MM-SC_GL.jpg,True
FASTON 22-16 AWG 2.8 MM (20U),F2216R_GL,1100,7,aisladores,,products/F2216R_GL.jpg,True
FASTON 22-16 AWG 6.3 MM (15U),F2216RHA_GL,1100,3,aisladores,,products/F2216RHA_GL.jpg,True
FASTON 22-18 AWG 6.3 MM (20U),F2218M_GL,2900,6,aisladores,,products/F2218M_GL.jpg,True
FASTON 16-14 AWG 6.3 MM (13U),F1614M_GL,1900,1,aisladores,,products/F1614M_GL.jpg,True
CONECTOR EMPALME RÁPIDO 6 VÍAS,KV773-106_GL,400,20,adaptadores,,products/KV773-106_GL.jpg,True
CONECTOR EMPALME RÁPIDO 8 VÍAS,KV773-108_GL,500,12,adaptadores,,products/KV773-108_GL.jpg,True
CONECTOR RÁPIDO 2X6,LT623_GL,1500,49,adaptadores,,products/LT623_GL.jpg,True
CONECTOR RÁPIDO 3X9,LT933_GL,2100,19,adaptadores,,products/LT933_GL.jpg,True
CONECTOR RÁPIDO 2X2,PCT-222_GL,600,19,adaptadores,,products/PCT-222_GL.jpg,True
TBLOCK 1X4 2.54 150V 6A,RS120-2.54X4_GL,120,264,electronica,,products/RS120-2.54X4_GL.jpg,True
TBLOCK 1X6 M-H 5.08 300 V 15A,HR2EDG-5.08X6_GL,1000,50,electronica,,products/HR2EDG-5.08X6_GL.jpg,True
TBLOCK 1X2 M-H 5.08 300 V 15A,HR2EDG-5.08X2_GL,800,96,electronica,,products/HR2EDG-5.08X2_GL.jpg,True
CONECTOR EMPALME RÁPIDO 4 VÍAS,KV773-104_GL,300,24,adaptadores,,products/KV773-104_GL.jpg,True
TBLOCK 1X3 2.54 150V 6A,RS120-2.54X3_GL,110,232,electronica,,products/RS120-2.54X3_GL.jpg,True
PIN HEADER HEMBRA 1X40 (10U),PH1X40H_GL,3000,15,conectores,,products/PH1X40H_GL.jpg,True
PIN HEADER MACHO 2X40 (10U),PH2X40_GL,4000,20,conectores,,products/PH2X40_GL.jpg,True
PIN HEADER MACHO 2X40 90° (10U),PH2X40-90_GL,4000,39,conectores,,products/PH2X40-90_GL.jpg,True
COPLA USB H-H,CC722-USB_GL,1000,20,adaptadores,,products/CC722-USB_GL.jpg,True
TBLOCK 1X2 2.54 150V 6A,RS120-2.54_GL,100,253,electronica,,products/RS120-2.54_GL.jpg,True
CABLE CONECTOR JST HEMBRA - MACHO DE 6P,JST-6P,1580,188,cables,,products/JST-6P.jpg,True
CONECTOR MOLEX HEMBRA 3P CON CABLE DE 30CM,MOLEX-3P,550,47,cables,,products/MOLEX-3P.jpg,True
CABLE CONECTOR JST DE 3P HEMBRA - MACHO,JST-3P,1395,198,cables,,products/JST-3P.jpg,True
CONECTOR MOLEX HEMBRA 4P CON CABLE DE 30CM,MOLEX-4P,650,50,cables,,products/MOLEX-4P.jpg,True
"FUENTE DE PODER LED 12V 400W 33,3AMP",LED-33.3,15500,5,electronica,,products/LED-33.3.jpg,True
FUENTE DE PODER LED 12V 8.5A 100W,149291,10000,10,alimentacion,,products/149291.jpg,True
FUENTE DE PODER 24V 100W  4.16A,149258,12522,2,electronica,,products/149258.jpg,True
KIT PROYECTO PARA ARMAR DE TRABAJADOR CON MOVIMIENTO,161105,5000,6,kits-educativos,,products/161105.jpg,True
KIT PROYECTO PARA ARMAR TANQUE CON MOVIMIENTO,TANK-KIT,4650,1,kits-educativos,,products/TANK-KIT.jpg,True
KIT PROYECTO PARA ARMAR VENTILADOR CON OSCILACIÓN,161083,5000,6,inicio,,products/161083.jpg,True
KIT PROYECTO PARA ARMAR MOLINO SOLAR CON MOVIMIENTO,,4650,0,kits-educativos,,products/.jpg,True
